loan_amount,income,interest_rate,loan_term,dti_numeric,loan_type_2,loan_type_3,loan_type_4,loan_purpose_2,loan_purpose_31,loan_purpose_32,loan_purpose_4,loan_purpose_5,occupancy_type_2,occupancy_type_3,race,sex,age_group
-1.2229405408895284,-0.36237978782515656,-3.821869574342881,0.4010883165798516,-0.5604895459603174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,Female,mid
2.5257777985758745,0.7550524058542281,-0.11969461914448365,0.4010883165798516,-0.15745181565903452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White,Male,mid
-0.1518781581851275,-0.26581157355656776,0.8545619480129895,0.4010883165798516,-0.2380593617192911,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,White,Female,mid
0.2229936757614128,0.04458625802103908,0.9519876047287367,0.4010883165798516,-1.20534991444237,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,White,Male,mid
-0.794515587807768,-0.5969025939060151,-0.11969461914448365,0.4010883165798516,0.16497836858199177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White,Female,senior
0.597865509707953,-0.23132292560350032,-0.022268962428736338,0.4010883165798516,2.018951927967893,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,Female,mid
4.078818253497255,0.54122278854521,-0.41197158929172556,0.4010883165798516,0.16497836858199177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White,Male,senior
0.8656311053840533,-0.0588796858381632,0.3674336644342529,0.4010883165798516,0.24558591464224835,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,Male,mid
-0.6874093495373279,-0.39686843577822395,-0.022268962428736338,-2.9917749965082074,-2.0114253750449356,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,White,Female,senior
0.06233431835575266,-0.17614108887859245,-0.11969461914448365,0.4010883165798516,-0.5604895459603174,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White,Male,young
-0.6874093495373279,-0.4727434612749723,-0.022268962428736338,-0.44712751169216314,2.018951927967893,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,White,Female,senior
-1.1158343026190882,-0.4244593541406779,-0.32233998511323786,0.4010883165798516,-0.5604895459603174,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,Female,mid
-0.31253751559078763,-0.31409568069086213,-0.7042485594389675,0.4010883165798516,-1.20534991444237,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White,Male,young
-1.0087280643486483,-0.5693116755435611,-0.022268962428736338,-2.1435591682361927,-1.20534991444237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,Female,mid
0.16944055662619276,-0.003697849113255317,-0.6068229027232201,0.4010883165798516,0.0843708225217352,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White,Male,young
-0.9016218260782081,-0.45205027250313184,-0.11969461914448365,0.4010883165798516,0.16497836858199177,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Black,Female,mid
-0.36609063472600767,0.3549840895986459,0.9519876047287367,0.4010883165798516,0.7292311910037877,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Black,Female,senior
2.097352845494114,1.893177788305453,-0.9965255295862094,0.4010883165798516,-1.20534991444237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,White,Male,senior
-0.1518781581851275,-0.583107134724788,-0.022268962428736338,0.4010883165798516,2.018951927967893,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Black,Male,senior
